Language,2014 (%),2024 (%),Change (%)
python,6.5,13.0,6.5
javascript,12.5,6.5,-6.0
java,10.0,6.3,-3.7
c,5.0,4.4,-0.5999999999999996
c++,4.0,4.0,0.0
php,6.5,2.2,-4.3
swift,0.4,1.9,1.5
r,1.5,1.7,0.19999999999999996
vb.net,3.5,1.5,-2.0
objective-c,3.4,1.5,-1.9
ruby,2.9,1.4,-1.5
assembly,1.0,1.2,0.19999999999999996
perl,1.5,0.6,-0.9
